Node,Cluster_ID
1,0
2,0
4,0
5,0
12,0
17,0
55,0
58,0
15,0
28,0
66,0
32,0
35,0
165,0
62,0
180,0
77,0
81,0
122,0
86,0
21,0
154,0
60,0
49,0
202,0
47,0
53,0
59,0
78,0
108,0
182,0
45,0
37,0
64,0
29,0
79,0
74,0
61,0
27,0
134,0
105,0
51,0
38,0
82,0
36,0
50,0
75,0
201,0
72,0
46,0
111,0
93,0
119,0
103,0
130,0
128,0
120,0
48,0
22,0
91,0
88,0
90,0
107,0
114,0
52,0
187,0
33,0
206,0
160,0
80,0
133,0
193,0
140,0
65,0
145,0
142,0
132,0
137,0
141,0
200,0
116,0
198,0
185,0
99,0
110,0
101,0
98,0
106,0
138,0
192,0
31,0
39,0
123,0
127,0
100,0
89,0
96,0
139,0
131,0
129,0
85,0
109,0
136,0
54,0
16,0
67,0
41,0
70,0
6,0
207,0
42,0
44,0
121,0
113,0
115,0
9,0
76,0
30,0
84,0
104,0
71,0
197,0
144,0
188,0
3,1
97,1
243,1
238,1
244,1
10,1
199,1
246,1
801,1
821,1
879,1
7,2
8,2
274,2
304,2
359,2
300,2
295,2
315,2
265,2
230,2
323,2
226,2
234,2
282,2
306,2
214,2
229,2
233,2
241,2
211,2
399,2
245,2
135,2
209,2
13,2
320,2
102,2
40,2
290,2
216,2
217,2
218,2
208,2
219,2
292,2
310,2
253,2
259,2
256,2
363,2
20,2
18,2
301,2
83,2
236,2
336,2
407,2
417,2
478,2
493,2
495,2
496,2
510,2
641,2
735,2
706,2
507,2
645,2
717,2
646,2
793,2
768,2
531,2
450,2
444,2
757,2
466,2
480,2
703,2
474,2
483,2
522,2
518,2
705,2
527,2
459,2
464,2
460,2
461,2
462,2
470,2
477,2
499,2
457,2
469,2
795,2
441,2
455,2
456,2
436,2
438,2
709,2
473,2
490,2
472,2
568,2
523,2
452,2
463,2
653,2
760,2
756,2
454,2
516,2
775,2
634,2
500,2
792,2
640,2
449,2
734,2
783,2
796,2
489,2
573,2
627,2
770,2
657,2
481,2
891,2
11,3
34,3
126,3
210,3
223,3
232,3
272,3
367,3
143,3
251,3
224,3
263,3
250,3
254,3
340,3
384,3
360,3
125,3
279,3
308,3
23,3
73,3
227,3
