Node,Cluster_ID
1,0
6,0
16,0
65,0
67,0
70,0
44,0
41,0
54,0
22,0
110,0
103,0
111,0
139,0
88,0
140,0
123,0
33,0
193,0
80,0
133,0
91,0
93,0
145,0
185,0
96,0
119,0
142,0
200,0
187,0
130,0
132,0
128,0
120,0
90,0
116,0
89,0
192,0
101,0
127,0
138,0
198,0
131,0
160,0
129,0
31,0
85,0
114,0
52,0
206,0
109,0
99,0
100,0
137,0
107,0
136,0
207,0
188,0
48,0
144,0
178,0
98,0
141,0
106,0
76,0
104,0
39,0
9,0
115,0
121,0
113,0
2,1
4,1
5,1
12,1
15,1
17,1
55,1
58,1
29,1
28,1
66,1
77,1
165,1
35,1
21,1
122,1
154,1
62,1
32,1
180,1
81,1
86,1
53,1
202,1
60,1
47,1
78,1
45,1
49,1
59,1
108,1
182,1
37,1
79,1
64,1
27,1
61,1
74,1
105,1
134,1
51,1
75,1
36,1
38,1
82,1
50,1
201,1
46,1
72,1
68,1
42,1
71,1
30,1
84,1
197,1
3,2
97,2
243,2
238,2
244,2
10,2
199,2
246,2
479,2
715,2
557,2
581,2
685,2
754,2
793,2
507,2
645,2
646,2
717,2
641,2
735,2
801,2
821,2
879,2
7,3
8,3
274,3
304,3
300,3
359,3
230,3
265,3
234,3
323,3
226,3
214,3
306,3
282,3
295,3
211,3
241,3
229,3
233,3
315,3
20,3
18,3
399,3
83,3
301,3
236,3
245,3
135,3
209,3
320,3
253,3
219,3
290,3
216,3
217,3
218,3
208,3
102,3
13,3
40,3
292,3
310,3
259,3
256,3
363,3
336,3
118,3
356,3
270,3
407,3
449,3
500,3
792,3
770,3
627,3
775,3
450,3
634,3
783,3
796,3
657,3
640,3
516,3
417,3
706,3
505,3
756,3
768,3
760,3
531,3
483,3
444,3
474,3
489,3
757,3
466,3
703,3
480,3
460,3
470,3
459,3
461,3
462,3
477,3
464,3
499,3
705,3
438,3
457,3
469,3
518,3
441,3
436,3
522,3
473,3
795,3
527,3
456,3
709,3
455,3
523,3
452,3
463,3
490,3
568,3
472,3
454,3
653,3
734,3
573,3
493,3
495,3
496,3
510,3
478,3
481,3
891,3
805,3
506,3
508,3
723,3
11,4
23,4
24,4
26,4
25,4
73,4
227,4
311,4
220,4
63,4
278,4
125,4
225,4
56,4
34,4
224,4
263,4
250,4
254,4
251,4
210,4
340,4
126,4
384,4
360,4
370,4
279,4
143,4
378,4
308,4
391,4
354,4
248,4
367,4
272,4
232,4
223,4
386,4
430,4
446,4
447,4
716,4
676,4
744,4
514,4
437,4
512,4
779,4
759,4
519,4
813,4
817,4
825,4
889,4
826,4
829,4
14,5
94,5
258,5
269,5
273,5
288,5
276,5
373,5
350,5
396,5
287,5
298,5
271,5
112,5
297,5
266,5
372,5
302,5
406,5
423,5
467,5
487,5
626,5
526,5
534,5
748,5
513,5
806,5
867,5
807,5
815,5
849,5
19,6
267,6
291,6
388,6
69,6
268,6
316,6
289,6
299,6
43,6
95,6
124,6
231,6
235,6
247,6
468,6
525,6
540,6
543,6
585,6
721,6
729,6
730,6
746,6
713,6
719,6
711,6
712,6
604,6
714,6
742,6
741,6
720,6
637,6
673,6
674,6
600,6
704,6
567,6
616,6
661,6
625,6
553,6
550,6
659,6
697,6
692,6
593,6
620,6
666,6
683,6
623,6
588,6
584,6
571,6
693,6
597,6
579,6
547,6
699,6
660,6
590,6
599,6
608,6
549,6
582,6
607,6
545,6
677,6
663,6
565,6
695,6
665,6
664,6
544,6
615,6
667,6
614,6
702,6
753,6
617,6
690,6
538,6
722,6
562,6
804,6
834,6
851,6
865,6
822,6
823,6
827,6
57,7
87,7
390,7
277,7
376,7
283,7
284,7
257,7
221,7
303,7
212,7
381,7
286,7
92,7
228,7
383,7
348,7
249,7
261,7
255,7
451,7
613,7
631,7
668,7
791,7
635,7
638,7
790,7
726,7
810,7
838,7
887,7
850,7
820,7
818,7
819,7
811,7
117,8
239,8
262,8
321,8
322,8
324,8
326,8
331,8
337,8
369,8
